GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oscar-cp,oscar.cp.constraints.nooverlap,AlternativeResources,47,24,0,0,2,1,2,1,2,1
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlapLeftToRightTransitionTimesFamilies,5,145,2,8,1,16,2,10,0,7
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlapLeftToRightTransitionTimes,0,57,0,2,0,4,0,4,0,3
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlapLeftToRight,77,1216,11,91,10,151,11,71,1,30
oscar-cp,oscar.cp.constraints.nooverlap,AlternativeResourcesTransitionTimesFamilies,47,0,0,0,3,0,3,0,3,0
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlapTransitionTimes.,5,7,0,0,0,1,1,2,1,2
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlapTransitionTimesFamilies.,5,9,0,0,0,1,1,3,1,3
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlapTransitionTimesFamilies,10,77,1,1,1,5,3,3,2,3
oscar-cp,oscar.cp.constraints.nooverlap,AlternativeResourcesTransitionTimesFamilies.,12,0,0,0,1,0,3,0,3,0
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlapTransitionTimes,3,104,0,2,0,7,1,5,1,4
oscar-cp,oscar.cp.constraints.nooverlap,NoOverlap,41,101,0,0,1,8,1,6,1,6
oscar-cp,oscar.cp.constraints.nooverlap,AlternativeResourcesTransitionTimes,0,49,0,0,0,5,0,3,0,3
oscar-cp,oscar.cp.constraints.nooverlap.util,TransitionTimesUtils,5,0,0,0,0,0,1,0,1,0
oscar-cp,oscar.cp.constraints.nooverlap.util,TSPUtils.,204,0,12,0,39,0,17,0,11,0
oscar-cp,oscar.cp.constraints.nooverlap.util,TransitionTimesUtils.,5,20,0,0,1,3,1,2,1,2
oscar-cp,oscar.cp.constraints.nooverlap.util,OptionalIntervalDomain,10,170,4,8,0,22,6,14,2,12
oscar-cp,oscar.cp.constraints.nooverlap.util,DynamicProgrammingTSP.,120,0,0,0,20,0,10,0,10,0
oscar-cp,oscar.cp.constraints.nooverlap.util,TSPUtils,26,0,0,0,0,0,6,0,6,0
oscar-cp,oscar.cp.constraints.nooverlap.util,DynamicProgrammingTSP,28,0,0,0,0,0,7,0,7,0
oscar-cp,oscar.ml.classificationtree.DataManipulation,BinaryPostFormat.,174,0,6,0,19,0,13,0,10,0
oscar-cp,oscar.ml.classificationtree.DataManipulation,BinaryPostFormat,30,0,0,0,0,0,7,0,7,0
