 50 480
 1 144
 14 217
 60 212
 97 118
 134 365
 138 325
 143 272
 144 364
 220 255
 231 400
 264 478
 301 531
 324 444
 342 534
 402 576
 405 465
 410 462
 414 463
 419 507
 445 606
 461 652
 499 724
 541 693
 553 747
 554 615
 574 689
 576 708
 632 691
 656 726
 674 786
 711 765
 766 791
 775 882
 871 951
 886 927
 903 1104
 932 1168
 997 1055
 1023 1131
 1156 1190
 1195 1370
 1216 1445
 1259 1308
 1261 1298
 1278 1405
 1297 1433
 1333 1362
 1340 1543
 1351 1539
 1388 1528
 1 10 169
 1 11 131
 1 13 286
 1 16 371
 1 17 457
 1 18 409
 2 13 155
 2 17 346
 2 18 300
 3 13 219
 3 14 245
 3 16 274
 3 17 319
 3 18 360
 3 19 347
 4 10 187
 4 11 178
 4 12 287
 4 13 288
 4 14 390
 4 15 349
 4 16 529
 4 17 462
 4 18 586
 4 19 471
 5 19 77
 6 15 130
 6 16 121
 6 17 109
 6 25 309
 7 15 148
 7 16 203
 7 17 154
 7 18 170
 7 19 254
 7 20 307
 7 25 502
 8 17 91
 8 25 324
 9 12 61
 9 15 203
 9 16 236
 9 17 297
 9 19 285
 9 20 342
 9 21 303
 9 23 427
 9 25 560
 9 26 571
 9 28 713
 10 21 82
 10 23 245
 10 25 163
 10 26 303
 10 27 327
 10 28 311
 11 22 26
 11 27 142
 11 28 208
 11 29 200
 12 24 23
 12 27 83
 12 29 233
 12 31 320
 13 23 128
 13 24 209
 13 25 170
 13 26 175
 13 27 184
 13 28 280
 13 29 238
 13 31 443
 13 32 394
 14 24 22
 14 31 192
 14 32 410
 15 32 301
 15 33 205
 16 23 137
 16 24 144
 16 25 125
 16 29 217
 16 30 278
 16 31 305
 16 32 410
 16 33 374
 17 22 58
 17 23 152
 17 25 150
 17 27 181
 17 29 232
 17 31 410
 17 32 552
 17 33 511
 18 24 170
 18 25 97
 18 28 206
 18 31 486
 18 32 343
 18 33 556
 19 25 48
 19 28 190
 19 29 249
 19 31 301
 19 32 367
 19 33 507
 20 32 286
 21 32 220
 21 35 412
 22 35 298
 23 33 124
 23 34 193
 23 35 249
 24 34 181
 24 35 265
 25 31 160
 25 33 304
 25 34 287
 25 35 435
 26 33 104
 26 35 273
 27 33 86
 27 34 279
 27 35 308
 27 38 481
 28 35 364
 28 36 409
 28 38 361
 29 34 226
 29 35 171
 29 38 329
 29 39 374
 30 35 101
 30 36 151
 30 38 419
 30 39 340
 31 35 171
 31 38 334
 31 39 282
 31 40 750
 32 35 121
 32 36 167
 32 38 321
 32 39 298
 32 40 707
 33 40 490
 34 43 545
 34 44 528
 35 38 96
 35 39 164
 35 40 232
 35 43 568
 35 44 457
 35 47 667
 36 43 294
 36 44 228
 36 47 339
 37 44 182
 37 47 280
 38 42 218
 38 45 268
 38 46 392
 38 47 493
 39 41 68
 39 46 199
 39 47 254
 40 46 132
 40 47 165
 40 48 244
 40 49 182
 40 50 218
 41 50 21
 47 50 27
